STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1513,10125-403351709,10225885,Cà Phê Muối Chú Long - Ngô Tất Tố,10/12/2025 11:47,"152,000","42,000",0,0,"27,005",0,"82,995"
1514,10125-403385296,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 11:48,"37,000",0,0,0,"9,084",0,"27,917"
1515,10125-403574218,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 11:49,"50,000","25,000",0,0,"6,138",0,"18,863"
1516,10125-404543637,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 11:46,"58,000",0,0,0,"14,239",0,"43,761"
1517,10125-404786426,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 11:30,"145,000","26,000",0,0,"29,215",0,"89,786"
1518,10125-405540163,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 11:29,"58,000","11,000",0,0,"11,539",0,"35,462"
1519,10125-405668234,10354882,Cà Phê Muối Chú Long - Quảng Ngãi,10/12/2025 11:43,"22,000",0,0,0,"5,401",0,"16,599"
1520,10125-406316965,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 11:37,"47,000","19,100",0,0,"6,849",0,"21,051"
1521,10125-406620951,10225898,Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,10/12/2025 11:48,"88,000","15,000",0,0,"17,922",0,"55,079"
1522,10125-406721937,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:53,"116,000","20,000",0,0,"23,568",0,"72,432"
1523,10125-407125575,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 12:00,"29,000","5,000",0,0,"5,892",0,"18,108"
1524,10125-407227787,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 12:04,"29,000","6,600",0,0,"5,499",0,"16,901"
1525,10125-407551824,10219545,Cà Phê Muối Chú Long - Nguyễn Huệ,10/12/2025 11:41,"94,000","15,000",0,0,"19,395",0,"59,606"
1526,10125-407611515,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 12:00,"58,000","11,000",0,0,"11,539",0,"35,462"
1527,10125-407905409,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 11:48,"29,000","5,000",0,0,"5,892",0,"18,108"
